id,student_id,class_id,class_name,keywords_pos,keywords_neg,preference
1,D202210493,1,Role of AI chatbots in education: systematic literature review,revolutionize immediate support explanations resources assistants supporting benefits opportunities prospects numerous gain assistance personalized development skills advantages time-saving improved,challenges limitations concerns reliability accuracy ethical considerations,1
2,D202210493,2,AI student success predictor: Enhancing personalized learning in campus management systems,Success Enhancing Personalized Effective Empowered Advanced Automating Meticulously Curated Masterpiece Refined Ability Accuracy Commendable Solid Seamlessly Swift Efficiency Pioneering Bridges Vital,limitations hinder conventional traditional ineffective gap chasm dropout risk manual unidentified challenges non-AI non-predictive unpersonalized,1
3,D202210493,3,,,,1
4,D202210493,4,,,,1
5,D202210493,5,,,,1
6,U202242880,6,Attention Is All You Need,Best Establishes Improving New Parallelizable Simple State-of-the-art Successfully Superior Well,recurrence convolutions recurrent convolutional RNN CNN ensembles complex,1
7,U202242880,7,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,new deep bidirectional state-of-the-art wide simple powerful improvement,GPT ELMo unidirectional autoregressive shallow labeled task-specific custom complex,1
8,U202242880,8,ImageNet Classification with Deep Convolutional Neural Networks,deep large high-resolution better state-of-the-art faster efficient effective winning best,regression segmentation generation svm rnn lstm gan transformer text audio video finance biology marketing physics,1
9,U202242880,9,Playing Atari with Deep Reinforcement Learning,successfully first learn rewards outperforms surpasses,supervised unsupervised classification regression clustering svm decision tree random forest nlp speech robotics self-driving finance healthcare feature engineering rnn gan transformer,1
10,U202242880,10,,,,1
11,U202243400,11,Research on comment sentiment classification prediction and topic identification based on ChatGPT large language model,aiding advancing suggestions balanced positive expectations acceptance breaks in-depth,concerns complexity limitations,1
12,U202243400,12,Research on Sentiment and Attention of ChatGPT Large Language Model,Optimistic Innovation Fine-grained Multi-faceted,twitter facebook reddit instagram bard llama svm naive bayes rnn cnn kmeans prophet pessimism negative outlook superficial tutorial buy price coding,1
13,U202243400,13,JavaScript malicious code detection based on layer-level heterogeneous graph attention network,enrich improve enhance accurate high,traditional abstract syntax tree AST conventional old Jilin university journal,1
14,U202243400,14,"Emotion recognition in AI dubbing of film and television scripts: current development status, algorithm limitations and improvement suggestions",Improvement Suggestion Development Application Solution Modern Technology,limitations problem difficult deficiencies shortcomings,1
15,U202243400,15,Self-attention mechanism hybrid neural network EEG emotion classification algorithm,improve accuracy excellent performance,"fMRI
text
image
video
speech
cognition
memory
language
svm
regression
clustering
sleep
epilepsy
seizure
bci
finance
robotics
tutorial
buy
price
free
history
chemistry
physics
biology
sales
marketing
control
nlp
cv",1
16,U202242760,16,Pixel Recurrent Neural Networks,expressive tractable scalable fast effective better crisp varied coherent,supervised classification detection segmentation recognition GAN VAE text audio speech reinforcement transfer,1
17,U202242760,17,Training Very Deep Networks,success crucial overcome unimpeded flow highways adaptive regulate directly simple enables efficient deep extremely,difficult problem open,1
18,U202242760,18,DRAW: A Recurrent Neural Network For Image Generation,novel complex substantially improves real,text speech GAN classification recognition segmentation object detection video 3D transformer,1
19,U202242760,19,Deep Neural Networks are Easily Fooled: High Confidence Predictions for Unrecognizable Images,state-of-the-art performance variety well confidence certainty recognizable familiar light,unrecognizable mislabeling vulnerability inaccuracy unreliable,1
20,U202242760,20,Decaf: A Deep Convolutional Activation Feature for Generic Visual Recognition,Deep Generic Recognition Novel Efficacy Outperform State-of-the-art Open-source Enable,conventional scratch sufficient large,1
21,U202242835,21,"Effort, Revenue, and Cost Sharing Mechanisms for Collaborative New Product Development",Revenue Profit Growth Innovation Collaborative Sharing Success Benefits Joint,manufacturing assembly arms-length culture price quantities HP IBM pharmaceutical life sciences high technology patent budget growth profit risk uncertainty agency opportunistic value chain,1
22,U202242835,22,Conceptualizing smart service systems,"smart
adaptation
autonomous
co-creation
continuous
emergence
enable
integrate
optimization
transform",traditional manual offline analog standalone one-off legacy ad-hoc unmanaged,1
23,U202242835,23,A framework for AI-powered service innovation capability: Review and agenda for future research,framework AI-powered innovation capability future significant success strategic management synthesises proposes develops advance knowledge orientation data business models ecosystem organisational learning ethics crucial essential achieving agility competitive advantage sustainable,ad-hoc lacking,1
24,U202242835,24,A review of multi-view stereo vision based on deep learning,Useful Widespread Remedy Improvement Pioneering Groundbreaking Innovative Development Progress Enhanced In-depth Thorough Promising Prospective,traditional conventional insensitive low texture poor incomplete shortcomings limitations deficiencies drawbacks,1
25,U202242835,25,A review of research on deep convolutional neural networks in computer vision,Powerful Remarkable Achievements Development Rise New directions,traditional machine learning shallow non-convolutional RNN LSTM transformer NLP speech audio recommender finance genomics,1
26,U202260009,26,Research on Future Schools in the Era of Artificial Intelligence,Future Transformation Grand Progress Inspire Imagination Comprehensive Engagement Rapid Expansion Initiative Renewal Key Systematic Desired Design Construct,traditional past old current Microsoft Philadelphia society,1
27,U202260009,27,"Generative artificial intelligence empowers educational information science and technology research: new opportunities, new trends, and new issues",Empower New Opportunities Trends Innovation Transformation Momentum Upgrade Development Cultivation Enhance Lead Optimize Personalized Collaborative Intelligent Application Explore Reform Guidance,knowledge learning rule discovery technological innovation general scenarios research following practice,1
28,U202260009,28,A new paradigm for educational research: educational science research driven by artificial intelligence,Opportunities Promising Drive Transformation Powerful Vitality Achieve Enhance Efficiency Unleash Augmented Innovation Strengthen Integration Collaboration Synergy Pioneer New Development Empowerment Create Vision Positive Better Promote,challenge risk impact disruption problem,1
29,U202260009,29,Research on artificial intelligence empowering college students' ideological and political education,Empowering Enabling Promote Advance Integration High-quality Development Strengthen Enhance Holistic Systematic Explore Possibility Necessity Value Innovation Optimization Important,lack insufficient weak fragmented dispersed unintegrated biased narrow problem separated,1
30,U202260009,30,Hot topics and future prospects of educational research——Analysis based on the reprinted papers of 'Education' in the 2023 edition of Renmin University's photocopied newspapers and periodicals,Outlook Prospects Hot Prominent Wide Rich Leading New Development Construction Modernization Quality Significance Strong Independent Strategic Innovation Service Integrated Spirit Empowerment Reform Advancement High-level Openness Enhancement,enrollment admission tuition career jobs training application student exam grade scholarship degree diploma certification buy sell cost price online course classroom teaching job school application educational research journal east china normal university journal educational research and experiment journal renmin university photocopy materials free download pdf news blog forum template example sample how-to tips guide old past history definition,1
31,U202242844,31,Enhancing personalized learning: AI-driven identification of learning stylesand content modification strategies,Enhancing personalized AI-driven effective successfully best accomplished engaging efficient integrated fostering unique,traditional education manual learning non-ai robotics finance healthcare teacher training school administration education policy physical classroom,1
32,U202242844,32,Implementing the Dynamic Feedback-Driven LearningOptimization Framework: A Machine Learning Approach to Personalize Educational Pathways,Optimization Dynamic Personalized Enhance Engagement Effectiveness Real-time Tailored Potential Advanced Support Contribute Advancements,traditional offline manual static general unpersonalized one-size-fits-all classroom management educational policy educational funding humanities art history literature,1
33,U202242844,33,Exploring the Impact of Artificial Intelligence in Teaching and Learning of Science: A Systematic Review of Empirical Research,transforming active progression understanding evidence-based consolidated benefits enhancing learning outcomes achieve integration implications systematic empirical teaching,finance marketing healthcare manufacturing business entertainment art music law history literature language politics,1
34,U202242844,34,The Impact of Artificial Intelligence on Higher Education: An Empirical Study,"growing
crucial
effectiveness
efficiency
equipping
new
importance
prepare
potential
revolutionize
personalizing
suit
prompt
freeing
quality
positive
facilitating
acquisition
insights
transform
contribute
development
important
better",negative detrimental k-12 primary secondary manual traditional quantitative history funding unrelated no effect decline stagnation experimental,1
35,U202242844,35,Integrating Artificial Intelligence in Education: Impacts on Student Learning and Innovation,Learning Innovation Engagement Success Creativity Gains Positive Improve Achievement Benefits Potential Effectively Advantage Outcomes Best Significance Difference Knowledge,confounding inability constraints implications,1
36,U202260010,36,Role of Deep Reinforcement Learning in Visual Navigation: A Review,human enabling safe specified directly end-to-end latest important optimization generalization future,high-precision maps error accumulation traditional,1
37,U202260010,37,Research on spatial image of 5A-level tourist attractions based on deep mining of artificial intelligence,AI Deep Mining Quality Broadens Knowledge Key High Evaluation Foundation Crucial Enhancement Development Refined Promote,hotel flight booking price tour guide transportation accommodation restaurant shopping robotics ethics hardware medical finance qualitative non-5A non-AI history conservation preservation construction,1
38,U202260010,38,Analysis of AI and Big Data-Driven Motor Vehicle Emission Monitoring System,effectively improving efficiency integrated leveraging intelligent reducing enhancing,high labor costs low data utilization rates information silos manual inputs pollution,1
39,U202260010,39,Insights into the Application of AI-Driven Intelligent Traditional Chinese Medicine Diagnosis and Treatment Techniques,Insights Application AI-Driven Intelligent extensive flourished promote driving effective widespread,slow,1
40,U202260010,40,Logic and Collaborative Governance of Security Risks in AI-Driven Text-to-Video Technology,breakthroughs innovation capabilities effective balanced complete enhanced strengthening robustness,security risks risks,1
41,U202143246,41,CATAPULT: Data-driven Selection of Canned Patterns for Efficient Visual Graph Query Formulation,widen reach enabling improving efficiency superiority,weapon military siege toy food drink soda art drawing programmer coding developer chart machine math preserves tinned manual,1
42,U202143246,42,Potential Identity Resolution Systems for the IIoT: A Survey,Potential Resolution Connects Ability Meet Selection,staff factories sensors equipment products connects comparing ability meet article survey,1
43,U202143246,43,FastRAG: Retrieval Augmented Generation for Semi-structured Data,accurate improving efficiency,inaccurate slow expensive inefficient,1
44,U202143246,44,Retrieval Augmented Generation (RAG) and Beyond: A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,Beyond Comprehensive Wisely Solutions Effectively,internal standalone without data unaugmented ineffectively unwisely pure generation non-rag no retrieval,1
45,U202143246,45,Call Me When Necessary: LLMs can Efficiently and Faithfully Reason over Structured Environments,Efficiently Faithfully enables effectiveness surpassing boosting,inefficient unfaithful inaccurate previous vanilla manual slow old suboptimal,1
46,U202242809,46,Design of Dish Automatic Recognition and Settlement Device Based on AI Visual Technology,efficiency experience smart high-performance rapid stability quickly accurately automatic convenient precise quality,manual traditional error inaccurate slow inefficient human non-ai non-visual non-automatic waiter cashier paper queue,1
47,U202242809,47,Application and Prospect of Artificial Intelligence in Aortic Diseases,Achieve Changes Comprehensive Development New Personalized Potential Precise Prospect Rapid,Air Force Journal University body blood vessels health information technology review onset threat incidence,1
48,U202242809,48,Application Analysis of Artificial Intelligence in Chromosome Aberration Recognition,Advancement Improved Accuracy Efficiency Progress Application Recognition Crucial Artificial Intelligence Deep Learning Future Development Science Technology,manual traditional treatment therapy cure healthy normal prevention non-ionizing drug surgery MRI CT ultrasound vaccine gene editing,1
49,U202242809,49,Research Progress of Artificial Intelligence in Ultrasound Diagnosis of Lymph Node Lesions,Progress Crucial Preferred Rapid Development Provide Applied,challenging atypical naked eye misdiagnosis inaccuracy,1
50,U202242809,50,Application of Artificial Intelligence in Synthetic Biology from a Patent Perspective,practical support innovation research development explores reveals analyzes countermeasures helps understand importance driving ideas technical intelligence trends,anatomy physiology ecology zoology botany immunology neuroscience epidemiology pathology clinical medicine therapy diagnosis drug disease patient pharmacology robotics vision language speech copyright trademark litigation physics chemistry mathematics history philosophy economics sociology psychology art literature ethics education,1
51,U202242860,51,,,,1
52,U202242860,52,,,,1
53,U202242860,53,,,,1
54,U202242860,54,,,,1
55,U202242860,55,,,,1
56,U202242759,56,Role of AI in Higher Education Reform in the Digital Age,Development Reform Digitalization Practical Guiding Systematic Framework Hotspots Analyze Proposes Countermeasures Deeply Higher,unclear lacking dilemmas,1
57,U202242759,57,International Comparative Study on Copyright Protection of Artificial Intelligence-Generated Products,development revolution value feasibility support,disunified inconsistent fragmented unprotected no copyright hindrance restriction barrier limited trade,1
58,U202242759,58,Research on AI Empowering Ideological and Political Education of College Students,Empowering Promoting Integration Advance Possibilities Value Innovation Optimization,manual traditional k12 children adults vocational general entertainment hindering limiting failure separation capitalist western,1
59,U202242759,59,Impact of AI on Labor Employment Research,development new era emerged advancements opportunities,medical art finance programming ethics safety gaming,1
60,U202242759,60,Research and Development of AI-Assisted Diagnosis and Treatment System for Coronary Heart Disease in Traditional Chinese Medicine,Research Development Assisted Diagnosis Treatment System Renowned Effective Solutions Aiding Cultivation Inheritance Care,western allopathic surgery drug cancer diabetes stroke infection symptoms causes prevention manual human robotics finance marketing free cost jobs online course book,1
61,U202242859,61,,,,1
62,U202242859,62,,,,1
63,U202242859,63,,,,1
64,U202242859,64,,,,1
65,U202242859,65,,,,1
66,U202242783,66,Real-world big data helps TCM health management enter the era of artificial intelligence,Boost Leverage Establish Standardization New Opportunity Development Trend Inevitable Modernization Guide Advantage Solve Build Intelligent Enrich Improve Achieve Objectification Provide Health Artificial Intelligence Big Data Internet Technology Platform,lack missing difficult unleveraged bias deviation incomplete problem,1
67,U202242783,67,Applications of artificial intelligence in intelligent manufacturing: a review,Intelligent Rapid Development New Great Integration Core Applications,manual traditional healthcare finance medical education retail agriculture history obsolete non-AI non-intelligent conventional banking,1
68,U202242783,68,"Artificial Intelligence Taste System: Concepts, Structure and Methods",AI Optimized Achieved Bionic Self-learning Intelligent Expert Unified Important Development Integrated,vision smell hearing touch specific_sensing traditional_analysis,1
69,U202242783,69,Wasserstein GAN-Based Small-Sample Augmentation for New-Generation Artificial Intelligence: A Case Study of Cancer-Staging Data in Biology,Accuracy Contribute Effective Essential Expansion Increase New-generation Promotion Transform Verified,big data traditional classical statistical original samples no augmentation,1
70,U202242783,70,Intelligent Manufacturing for the Process Industry Driven by Industrial Artificial Intelligence,Intelligent Driven Development New Deep Integration Framework Vision Optimal Cooperation Autonomous Crucial Successful Key,,1
71,U202242881,71,,,,1
72,U202242881,72,The formation path of information search behavior of users of generative AI tools ——from the perspective of digital literacy and artificial intelligence literacy,improve enhance efficiency optimize positive value integration understanding protection important complementary accurate key ability,non-AI non-generative illiteracy manual traditional non-digital,1
73,U202242881,73,Data security challenges and responses in the era of artificial intelligence,Protect Safeguard Ensure Important Significance Promote Healthy Development Support Strong Response,challenge issue leakage breach theft threat problem disclosure,1
74,U202242881,74,Research on image recognition and generation based on artificial intelligence algorithm,important attention advance development significance improvement guidance,information acquisition information processing image classification classification design image processing electronic components information technology,1
75,U202242881,75,,,,1
76,U202242827,76,ImageNet Classification with Deep Convolutional Neural Networks,better faster efficient effective winning,text audio video nlp speech regression clustering shallow svm rnn gan object detection segmentation transformer generative traditional,1
77,U202242827,77,A Neural Algorithm of Artistic Style,Artistic Style mastered skill unique near-human inspired high quality striking performance-optimised forward understanding,humans artist painter skill mastered painting sculpture drawing art history art criticism fine art object recognition face recognition biological vision visual perception,1
78,U202242827,78,Attention Is All You Need,best simple superior parallelizable improving new state-of-the-art well successfully,recurrent convolutional recurrence convolutions RNN CNN complex ensembles,1
79,U202242827,79,,,,1
80,U202242827,80,,,,1
